date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2010-12-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,55.57,3.5356
2010-12-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.05,0.8306
2010-12-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,6.19,0.3936
2010-12-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.22,0.6506
2010-12-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,35.27,2.2443
2010-12-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,9.6,0.6109
2010-12-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,6.9,0.4388
2010-12-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.47,0.6024
2010-12-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,12.94,0.8231
2010-12-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.65,0.1683
2010-12-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.65,0.1684
2010-12-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,1.92,0.1219
2011-01-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.01,0.3187
2011-01-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.42,0.0906
2011-01-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.97,0.2528
2011-01-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.02,0.2561
2011-01-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,55.9,3.5567
2011-01-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.27,0.8441
2011-01-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,6.14,0.3906
2011-01-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.5,0.6681
2011-01-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,35.6,2.2649
2011-01-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,9.89,0.6296
2011-01-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,7.49,0.4767
2011-01-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.55,0.6079
2011-01-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.4,0.8529
2011-01-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,3.0,0.1912
2011-01-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.59,0.1648
2011-01-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,2.03,0.1293
2011-02-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.05,0.3212
2011-02-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.4,0.089
2011-02-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,4.09,0.2602
2011-02-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.16,0.2646
2011-02-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,53.36,3.395
2011-02-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,12.97,0.8251
2011-02-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,5.72,0.3638
2011-02-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.84,0.6898
2011-02-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,36.5,2.3226
2011-02-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,10.05,0.6394
